,Time-steps,probability
0,1,8.33334e-06
1,2,8.33334e-06
2,3,8.33334e-06
3,4,8.33334e-06
4,5,8.33334e-06
5,6,8.33334e-06
6,7,8.33334e-06
7,8,8.33334e-06
8,9,8.33334e-06
9,10,8.33334e-06
10,11,8.33334e-06
11,12,8.33334e-06
12,13,8.33334e-06
13,14,8.33334e-06
14,15,8.33334e-06
15,16,8.33334e-06
16,17,8.33334e-06
17,18,8.33334e-06
18,19,8.33334e-06
19,20,8.33334e-06
20,21,8.33334e-06
21,22,8.33334e-06
22,23,8.33334e-06
23,24,8.33334e-06
24,25,4.16666e-05
25,26,4.16666e-05
26,27,4.16666e-05
27,28,4.16666e-05
28,29,4.16666e-05
29,30,4.16666e-05
30,31,4.16666e-05
31,32,4.16666e-05
32,33,4.16666e-05
33,34,4.16666e-05
34,35,4.16666e-05
35,36,4.16666e-05
36,37,4.16666e-05
37,38,4.16666e-05
38,39,4.16666e-05
39,40,4.16666e-05
40,41,4.16666e-05
41,42,4.16666e-05
42,43,4.16666e-05
43,44,4.16666e-05
44,45,4.16666e-05
45,46,4.16666e-05
46,47,4.16666e-05
47,48,4.16666e-05
48,49,8.33334e-05
49,50,8.33334e-05
50,51,8.33334e-05
51,52,8.33334e-05
52,53,8.33334e-05
53,54,8.33334e-05
54,55,8.33334e-05
55,56,8.33334e-05
56,57,8.33334e-05
57,58,8.33334e-05
58,59,8.33334e-05
59,60,8.33334e-05
60,61,8.33334e-05
61,62,8.33334e-05
62,63,8.33334e-05
63,64,8.33334e-05
64,65,8.33334e-05
65,66,8.33334e-05
66,67,8.33334e-05
67,68,8.33334e-05
68,69,8.33334e-05
69,70,8.33334e-05
70,71,8.33334e-05
71,72,8.33334e-05
72,73,0.0001666666
73,74,0.0001666666
74,75,0.0001666666
75,76,0.0001666666
76,77,0.0001666666
77,78,0.0001666666
78,79,0.0001666666
79,80,0.0001666666
80,81,0.0001666666
81,82,0.0001666666
82,83,0.0001666666
83,84,0.0001666666
84,85,0.0001666666
85,86,0.0001666666
86,87,0.0001666666
87,88,0.0001666666
88,89,0.0001666666
89,90,0.0001666666
90,91,0.0001666666
91,92,0.0001666666
92,93,0.0001666666
93,94,0.0001666666
94,95,0.0001666666
95,96,0.0001666666
96,97,0.00025
97,98,0.00025
98,99,0.00025
99,100,0.00025
100,101,0.00025
101,102,0.00025
102,103,0.00025
103,104,0.00025
104,105,0.00025
105,106,0.00025
106,107,0.00025
107,108,0.00025
108,109,0.00025
109,110,0.00025
110,111,0.00025
111,112,0.00025
112,113,0.00025
113,114,0.00025
114,115,0.00025
115,116,0.00025
116,117,0.00025
117,118,0.00025
118,119,0.00025
119,120,0.00025
120,121,0.0005
121,122,0.0005
122,123,0.0005
123,124,0.0005
124,125,0.0005
125,126,0.0005
126,127,0.0005
127,128,0.0005
128,129,0.0005
129,130,0.0005
130,131,0.0005
131,132,0.0005
132,133,0.0005
133,134,0.0005
134,135,0.0005
135,136,0.0005
136,137,0.0005
137,138,0.0005
138,139,0.0005
139,140,0.0005
140,141,0.0005
141,142,0.0005
142,143,0.0005
143,144,0.0005
144,145,0.0008333339999999999
145,146,0.0008333339999999999
146,147,0.0008333339999999999
147,148,0.0008333339999999999
148,149,0.0008333339999999999
149,150,0.0008333339999999999
150,151,0.0008333339999999999
151,152,0.0008333339999999999
152,153,0.0008333339999999999
153,154,0.0008333339999999999
154,155,0.0008333339999999999
155,156,0.0008333339999999999
156,157,0.0008333339999999999
157,158,0.0008333339999999999
158,159,0.0008333339999999999
159,160,0.0008333339999999999
160,161,0.0008333339999999999
161,162,0.0008333339999999999
162,163,0.0008333339999999999
163,164,0.0008333339999999999
164,165,0.0008333339999999999
165,166,0.0008333339999999999
166,167,0.0008333339999999999
167,168,0.0008333339999999999
168,169,0.001666666
169,170,0.001666666
170,171,0.001666666
171,172,0.001666666
172,173,0.001666666
173,174,0.001666666
174,175,0.001666666
175,176,0.001666666
176,177,0.001666666
177,178,0.001666666
178,179,0.001666666
179,180,0.001666666
180,181,0.001666666
181,182,0.001666666
182,183,0.001666666
183,184,0.001666666
184,185,0.001666666
185,186,0.001666666
186,187,0.001666666
187,188,0.001666666
188,189,0.001666666
189,190,0.001666666
190,191,0.001666666
191,192,0.001666666
192,193,0.001666666
193,194,0.001666666
194,195,0.001666666
195,196,0.001666666
196,197,0.001666666
197,198,0.001666666
198,199,0.001666666
199,200,0.001666666
200,201,0.001666666
201,202,0.001666666
202,203,0.001666666
203,204,0.001666666
204,205,0.001666666
205,206,0.001666666
206,207,0.001666666
207,208,0.001666666
208,209,0.001666666
209,210,0.001666666
210,211,0.001666666
211,212,0.001666666
212,213,0.001666666
213,214,0.001666666
214,215,0.001666666
215,216,0.001666666
216,217,0.0025
217,218,0.0025
218,219,0.0025
219,220,0.0025
220,221,0.0025
221,222,0.0025
222,223,0.0025
223,224,0.0025
224,225,0.0025
225,226,0.0025
226,227,0.0025
227,228,0.0025
228,229,0.0025
229,230,0.0025
230,231,0.0025
231,232,0.0025
232,233,0.0025
233,234,0.0025
234,235,0.0025
235,236,0.0025
236,237,0.0025
237,238,0.0025
238,239,0.0025
239,240,0.0025
240,241,0.001666666
241,242,0.001666666
242,243,0.001666666
243,244,0.001666666
244,245,0.001666666
245,246,0.001666666
246,247,0.001666666
247,248,0.001666666
248,249,0.001666666
249,250,0.001666666
250,251,0.001666666
251,252,0.001666666
252,253,0.001666666
253,254,0.001666666
254,255,0.001666666
255,256,0.001666666
256,257,0.001666666
257,258,0.001666666
258,259,0.001666666
259,260,0.001666666
260,261,0.001666666
261,262,0.001666666
262,263,0.001666666
263,264,0.001666666
264,265,0.0008333339999999999
265,266,0.0008333339999999999
266,267,0.0008333339999999999
267,268,0.0008333339999999999
268,269,0.0008333339999999999
269,270,0.0008333339999999999
270,271,0.0008333339999999999
271,272,0.0008333339999999999
272,273,0.0008333339999999999
273,274,0.0008333339999999999
274,275,0.0008333339999999999
275,276,0.0008333339999999999
276,277,0.0008333339999999999
277,278,0.0008333339999999999
278,279,0.0008333339999999999
279,280,0.0008333339999999999
280,281,0.0008333339999999999
281,282,0.0008333339999999999
282,283,0.0008333339999999999
283,284,0.0008333339999999999
284,285,0.0008333339999999999
285,286,0.0008333339999999999
286,287,0.0008333339999999999
287,288,0.0008333339999999999
288,289,0.0008333339999999999
289,290,0.0008333339999999999
290,291,0.0008333339999999999
291,292,0.0008333339999999999
292,293,0.0008333339999999999
293,294,0.0008333339999999999
294,295,0.0008333339999999999
295,296,0.0008333339999999999
296,297,0.0008333339999999999
297,298,0.0008333339999999999
298,299,0.0008333339999999999
299,300,0.0008333339999999999
300,301,0.0008333339999999999
301,302,0.0008333339999999999
302,303,0.0008333339999999999
303,304,0.0008333339999999999
304,305,0.0008333339999999999
305,306,0.0008333339999999999
306,307,0.0008333339999999999
307,308,0.0008333339999999999
308,309,0.0008333339999999999
309,310,0.0008333339999999999
310,311,0.0008333339999999999
311,312,0.0008333339999999999
312,313,0.0008333339999999999
313,314,0.0008333339999999999
314,315,0.0008333339999999999
315,316,0.0008333339999999999
316,317,0.0008333339999999999
317,318,0.0008333339999999999
318,319,0.0008333339999999999
319,320,0.0008333339999999999
320,321,0.0008333339999999999
321,322,0.0008333339999999999
322,323,0.0008333339999999999
323,324,0.0008333339999999999
324,325,0.0008333339999999999
325,326,0.0008333339999999999
326,327,0.0008333339999999999
327,328,0.0008333339999999999
328,329,0.0008333339999999999
329,330,0.0008333339999999999
330,331,0.0008333339999999999
331,332,0.0008333339999999999
332,333,0.0008333339999999999
333,334,0.0008333339999999999
334,335,0.0008333339999999999
335,336,0.0008333339999999999
336,337,0.000616666
337,338,0.000616666
338,339,0.000616666
339,340,0.000616666
340,341,0.000616666
341,342,0.000616666
342,343,0.000616666
343,344,0.000616666
344,345,0.000616666
345,346,0.000616666
346,347,0.000616666
347,348,0.000616666
348,349,0.000616666
349,350,0.000616666
350,351,0.000616666
351,352,0.000616666
352,353,0.000616666
353,354,0.000616666
354,355,0.000616666
355,356,0.000616666
356,357,0.000616666
357,358,0.000616666
358,359,0.000616666
359,360,0.000616666
